Employee_Id,Skill,Level
E014,Cloud,Intermediate
E082,Project Management,Expert
E085,Data Modeling,Advanced
E030,Power BI,Intermediate
E082,Power BI,Intermediate
E081,Power BI,Beginner
E060,Data Modeling,Intermediate
E113,ETL,Expert
E103,Data Modeling,Expert
E101,Data Modeling,Intermediate
E020,Data Modeling,Expert
E066,Data Modeling,Advanced
E028,Excel,Advanced
E090,Excel,Advanced
E053,Project Management,Advanced
E102,Excel,Expert
E027,Python,Expert
E011,Python,Intermediate
E005,Cloud,Intermediate
E057,Excel,Beginner
E032,Data Modeling,Beginner
E028,Power BI,Beginner
E040,Python,Intermediate
E057,Cloud,Beginner
E028,SQL,Beginner
E017,Excel,Intermediate
E041,Project Management,Expert
E108,Python,Intermediate
E020,ETL,Beginner
E012,Excel,Expert
E052,Excel,Beginner
E090,Excel,Advanced
E011,Power BI,Expert
E099,Power BI,Intermediate
E050,SQL,Beginner
E019,Cloud,Beginner
E038,Project Management,Intermediate
E044,SQL,Intermediate
E116,Excel,Expert
E056,Python,Intermediate
E010,Project Management,Advanced
E026,ETL,Beginner
E070,Power BI,Advanced
E029,Excel,Beginner
E011,SQL,Advanced
E111,Project Management,Advanced
E022,SQL,Beginner
E061,SQL,Intermediate
E008,Cloud,Intermediate
E070,SQL,Intermediate
E097,Data Modeling,Advanced
E066,SQL,Beginner
E026,Project Management,Intermediate
E040,Data Modeling,Intermediate
E097,Data Modeling,Advanced
E119,Cloud,Advanced
E046,Power BI,Advanced
E011,SQL,Intermediate
E099,SQL,Intermediate
E064,ETL,Expert
E019,Cloud,Expert
E010,Project Management,Intermediate
E102,ETL,Beginner
E068,ETL,Intermediate
E048,SQL,Intermediate
E063,ETL,Expert
E052,Cloud,Expert
E073,Power BI,Beginner
E026,Excel,Beginner
E053,Power BI,Expert
E067,SQL,Beginner
E086,Cloud,Beginner
E089,Data Modeling,Advanced
E048,Data Modeling,Beginner
E072,SQL,Advanced
E082,Cloud,Advanced
E114,Power BI,Expert
E041,ETL,Advanced
E003,Python,Expert
E048,Excel,Intermediate
E018,Excel,Intermediate
E062,Data Modeling,Advanced
E076,SQL,Intermediate
E014,Project Management,Beginner
E098,Cloud,Advanced
E117,Power BI,Expert
E043,Cloud,Beginner
E079,SQL,Advanced
E111,ETL,Advanced
E015,Cloud,Advanced
E111,Data Modeling,Intermediate
E036,SQL,Advanced
E020,Power BI,Intermediate
E042,SQL,Beginner
E046,Python,Expert
E062,Python,Advanced
E017,Python,Beginner
E091,ETL,Beginner
E116,ETL,Expert
E001,Project Management,Advanced
E068,Project Management,Expert
E027,Power BI,Expert
E056,Python,Beginner
E009,Project Management,Intermediate
E048,Excel,Beginner
E059,ETL,Intermediate
E012,Cloud,Expert
E095,SQL,Advanced
E047,Excel,Intermediate
E005,Data Modeling,Beginner
E113,Project Management,Advanced
E090,Project Management,Advanced
E033,Project Management,Intermediate
E032,Data Modeling,Expert
E060,Cloud,Beginner
E117,Cloud,Expert
E072,Project Management,Expert
E073,Power BI,Beginner
E042,Project Management,Advanced
E009,SQL,Advanced
E033,Data Modeling,Advanced
E108,Data Modeling,Beginner
E116,Project Management,Intermediate
E081,SQL,Advanced
E051,Power BI,Beginner
E114,Project Management,Expert
E070,Excel,Intermediate
E089,SQL,Expert
E018,Power BI,Intermediate
E053,Power BI,Intermediate
E097,SQL,Beginner
E089,Data Modeling,Advanced
E070,Cloud,Intermediate
E109,Data Modeling,Intermediate
E069,ETL,Beginner
E023,Power BI,Beginner
E009,Cloud,Beginner
E071,Cloud,Intermediate
E058,Power BI,Expert
E015,Data Modeling,Advanced
E070,Project Management,Expert
E041,SQL,Intermediate
E018,Python,Intermediate
E037,ETL,Expert
E054,Python,Advanced
E065,ETL,Beginner
E052,Power BI,Beginner
E064,Data Modeling,Intermediate
E086,SQL,Beginner
E110,Cloud,Beginner
E034,Data Modeling,Intermediate
E111,ETL,Beginner
E075,Cloud,Advanced
E080,Power BI,Expert
E112,SQL,Advanced
E052,Power BI,Expert
E022,Project Management,Advanced
E103,SQL,Advanced
E086,ETL,Advanced
E073,ETL,Expert
E109,Project Management,Beginner
E049,ETL,Advanced
E090,SQL,Beginner
E120,Data Modeling,Intermediate
E077,Power BI,Intermediate
E117,Cloud,Intermediate
E063,Project Management,Beginner
E093,Cloud,Beginner
E033,SQL,Intermediate
E103,ETL,Advanced
E022,Excel,Beginner
E060,Cloud,Expert
E102,Project Management,Advanced
E020,Python,Expert
E024,SQL,Intermediate
E029,SQL,Expert
E095,Power BI,Beginner
E058,Cloud,Advanced
E107,Python,Expert
E042,Cloud,Expert
E019,Project Management,Intermediate
E111,Python,Beginner
E034,Project Management,Intermediate
E010,Cloud,Intermediate
